OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
7947,2023/05/15 23:00:00+00,1145,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,359988,175133,CYC
7948,2023/05/15 23:00:00+00,2230,3,Slight,HO,Head On,2,1,0,0,0,0,1,359772,177717,CARS
7949,2023/05/17 23:00:00+00,0830,3,Slight,NONE,Other,2,1,0,1,0,1,0,361706,170455,CYC
7950,2023/05/18 23:00:00+00,1400,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,1,359844,169876,CYC
7951,2023/05/18 23:00:00+00,1440,3,Slight,NONE,Other,2,1,0,0,0,0,0,359106,175840,CARS
7952,2023/05/18 23:00:00+00,1239,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,361336,173831,MCYC
7953,2023/05/19 23:00:00+00,0900,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,359566,174204,CARS
7954,2023/05/18 23:00:00+00,1725,2,Serious,NONE,Other,2,1,0,1,0,0,0,353459,177608,CYC
7955,2023/03/22 00:00:00+00,1541,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,362885,173747,CARS
7956,2023/09/03 23:00:00+00,1732,3,Slight,NT,Nose to Tail,2,1,0,1,1,0,0,359007,173551,CYC
7957,2023/09/03 23:00:00+00,1805,3,Slight,O,Overtaking,2,1,0,1,0,0,0,357758,170488,CYC
7958,2023/09/10 23:00:00+00,1615,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,358971,173376,C
7959,2023/09/17 23:00:00+00,1650,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,356894,167919,C
7960,2023/09/07 23:00:00+00,1505,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,361454,170998,CARS
7961,2023/07/03 23:00:00+00,0910,2,Serious,J1,Turning Movement from major road,2,1,0,0,1,0,0,360599,170917,MCYC
7962,2023/09/20 23:00:00+00,1145,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,1,0,360280,171273,CYC
7963,2023/09/19 23:00:00+00,1848,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,363028,175651,CARS
7964,2023/04/03 23:00:00+00,0950,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,360839,173792,CYC
7965,2023/07/02 23:00:00+00,1825,3,Slight,J1,Turning Movement from major road,2,2,0,0,0,0,0,358189,170704,CARS
7966,2023/04/05 23:00:00+00,0647,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,1,357086,175679,CARS
7967,2023/04/05 23:00:00+00,2130,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,1,0,0,359529,172330,MCYC
7968,2023/09/29 23:00:00+00,1258,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,358880,173323,CARS
7969,2023/05/18 23:00:00+00,2300,3,Slight,NONE,Other,2,1,0,1,0,0,0,359534,176051,CYC
7970,2023/04/09 23:00:00+00,1415,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358605,172890,A
7971,2023/04/08 23:00:00+00,1200,3,Slight,NONE,Other,1,1,0,0,0,0,0,361101,169432,CARS
7972,2023/04/10 23:00:00+00,2138,3,Slight,J,Turning movement – unidentified priority,2,3,0,0,0,0,0,359011,178213,CARS
7973,2023/04/11 23:00:00+00,2055,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,357724,167562,MCYC
7974,2023/05/20 23:00:00+00,1815,3,Slight,NONE,Other,2,1,0,1,1,0,1,357627,174642,CYC
7975,2023/05/22 23:00:00+00,1246,3,Slight,NONE,Other,2,1,0,0,1,0,0,363927,175987,MCYC
7976,2023/04/11 23:00:00+00,1146,3,Slight,J,Turning movement – unidentified priority,2,2,0,0,0,0,0,359440,172519,CARS
7977,2023/03/15 00:00:00+00,2000,3,Slight,HO,Head On,2,1,0,1,0,0,0,358984,174952,CYC
7978,2023/04/15 23:00:00+00,2210,3,Slight,NONE,Other,2,1,0,0,0,0,0,360496,169640,CARS
7979,2023/04/19 23:00:00+00,1105,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,359129,170991,MCYC
7980,2023/04/23 23:00:00+00,1602,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,360665,175381,CYC
7981,2023/06/05 23:00:00+00,2354,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,362441,175314,MCYC
7982,2023/07/31 23:00:00+00,2103,3,Slight,J,Turning movement – unidentified priority,2,2,0,0,0,0,0,357415,170183,CARS
7983,2023/04/21 23:00:00+00,1850,3,Slight,NONE,Other,2,1,0,1,0,0,0,363827,175213,CYC
7984,2023/07/04 23:00:00+00,1630,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,362697,170301,C
7985,2023/07/31 23:00:00+00,1252,3,Slight,J2,Turning Movement from minor road,2,2,0,0,0,0,1,356909,173172,CARS
7986,2023/05/23 23:00:00+00,1840,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,356826,167705,CARS
7987,2023/04/27 23:00:00+00,1226,3,Slight,E,Elderly pedestrian,2,1,1,0,0,0,1,358874,176193,E
7988,2023/05/02 23:00:00+00,0904,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,360717,171687,CYC
7989,2023/07/14 23:00:00+00,1925,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,360670,176864,MCYC
7990,2023/05/01 23:00:00+00,1246,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,0,0,0,358790,173347,CARS
7991,2023/07/20 23:00:00+00,1929,3,Slight,NONE,Other,2,1,0,0,0,0,0,363893,174064,CARS
7992,2023/07/20 23:00:00+00,1320,3,Slight,NT,Nose to Tail,3,2,0,0,0,0,0,360077,174143,CARS
7993,2023/07/31 23:00:00+00,2200,3,Slight,LC,Loss of Control,1,1,0,0,0,0,0,358449,172780,CARS
7994,2023/05/03 23:00:00+00,0843,3,Slight,J,Turning movement – unidentified priority,2,1,0,1,0,0,0,360045,173378,CYC
7995,2023/05/04 23:00:00+00,1351,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,358270,171334,MCYC
7996,2023/05/03 23:00:00+00,1417,3,Slight,J2,Turning Movement from minor road,2,2,0,0,0,1,0,364369,175112,CARS
7997,2023/08/24 23:00:00+00,1714,3,Slight,O,Overtaking,2,1,0,1,0,0,0,358570,171598,CYC
7998,2023/05/24 23:00:00+00,1736,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,359756,177476,MCYC
7999,2023/05/05 23:00:00+00,0935,3,Slight,NONE,Other,1,1,0,0,0,0,0,358168,179223,CARS
8000,2023/05/06 23:00:00+00,1139,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,356819,171854,CARS
8001,2023/05/09 23:00:00+00,1530,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,357018,177304,E
8002,2023/05/08 23:00:00+00,0803,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,363409,174169,MCYC
8003,2023/05/29 23:00:00+00,1240,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,361230,171934,CYC
8004,2023/05/10 23:00:00+00,1000,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,0,0,0,359311,173544,CARS
8005,2023/05/10 23:00:00+00,1623,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,1,360524,172496,CYC
8006,2023/05/30 23:00:00+00,1500,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,359954,177649,MCYC
8007,2023/05/22 23:00:00+00,0920,2,Serious,J2,Turning Movement from minor road,2,1,0,0,0,0,0,358856,173655,CARS
8008,2023/06/01 23:00:00+00,1100,3,Slight,NONE,Other,1,1,1,0,0,0,1,359068,170193,CARS
8009,2023/05/11 23:00:00+00,1634,3,Slight,J,Turning movement – unidentified priority,2,2,0,0,0,0,0,360110,173991,CARS
8010,2023/05/12 23:00:00+00,1133,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,0,0,1,361361,169843,CARS
8011,2023/05/12 23:00:00+00,1830,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,360221,173351,C
8012,2023/06/11 23:00:00+00,0830,3,Slight,HO,Head On,2,1,0,0,0,0,0,357330,179206,CARS
8013,2023/08/11 23:00:00+00,2300,3,Slight,HO,Head On,2,1,0,0,0,0,0,361893,171100,CARS
